time, autocorrelation 
5988, 0.005642
5989, 0.004552
5990, 0.003531
5991, 0.002426
5992, 0.001327
5993, 0.000269
5994, -0.000776
5995, -0.001755
5996, -0.002743
5997, -0.003712
5998, -0.004667
5999, -0.005639
6000, -0.006616
6001, -0.007571
6002, -0.008576
6003, -0.009567
6004, -0.010584
6005, -0.011561
6006, -0.012523
6007, -0.013443
6008, -0.014220
6009, -0.014922
6010, -0.015418
6011, -0.015877
6012, -0.016194
6013, -0.016434
6014, -0.016523
6015, -0.016703
6016, -0.016825
6017, -0.016946
6018, -0.017107
6019, -0.017242
6020, -0.017359
6021, -0.017402
6022, -0.017376
6023, -0.017297
6024, -0.017074
6025, -0.016647
6026, -0.016108
6027, -0.015615
6028, -0.015249
6029, -0.014856
6030, -0.014605
6031, -0.014347
6032, -0.014110
6033, -0.013788
6034, -0.013484
6035, -0.013111
6036, -0.012650
6037, -0.012235
6038, -0.011782
6039, -0.011279
6040, -0.010856
6041, -0.010442
6042, -0.009992
6043, -0.009591
6044, -0.009201
6045, -0.008804
6046, -0.008311
6047, -0.007807
6048, -0.007385
6049, -0.007042
6050, -0.006526
6051, -0.005965
6052, -0.005441
6053, -0.004842
6054, -0.004213
6055, -0.003647
6056, -0.002999
6057, -0.002378
6058, -0.001686
6059, -0.000903
6060, -0.000140
6061, 0.000661
6062, 0.001422
6063, 0.002096
6064, 0.002681
6065, 0.003284
6066, 0.003966
6067, 0.004521
6068, 0.005019
6069, 0.005561
6070, 0.006120
6071, 0.006684
6072, 0.007078
6073, 0.007461
6074, 0.007796
6075, 0.008234
6076, 0.008686
6077, 0.009161
6078, 0.009455
6079, 0.009734
6080, 0.009974
6081, 0.010352
6082, 0.010554
6083, 0.010891
6084, 0.011212
6085, 0.011503
6086, 0.011858
6087, 0.012282
6088, 0.012722
6089, 0.013008
6090, 0.013349
6091, 0.013659
6092, 0.013969
6093, 0.014319
6094, 0.014513
6095, 0.014640
6096, 0.014731
6097, 0.014885
6098, 0.015135
6099, 0.015201
6100, 0.015226
6101, 0.015305
6102, 0.015349
6103, 0.015423
6104, 0.015608
6105, 0.015720
6106, 0.015824
6107, 0.015818
6108, 0.015824
6109, 0.015699
6110, 0.015528
6111, 0.015399
6112, 0.015207
6113, 0.015078
6114, 0.014864
6115, 0.014721
6116, 0.014691
6117, 0.014675
6118, 0.014531
6119, 0.014461
6120, 0.014268
6121, 0.014081
6122, 0.013815
6123, 0.013571
6124, 0.013278
6125, 0.012968
6126, 0.012553
6127, 0.012120
6128, 0.011757
6129, 0.011423
6130, 0.011147
6131, 0.010846
6132, 0.010523
6133, 0.010230
